"Jehanabad, India",599356
"Jhansi, India",2112589
"Jhargram, India",1231801
"Jharsuguda, India",255160
"Jhumri Tilaiya, India",664208
"Jind, India",2187252
"Jodhpur, India",772359
"Jorhat, India",1382127
"Kadapa, India",1747259
"Kadi, India",928116
"Kadiri, India",181435
"Kagaznagar, India",597818
"Kaithal, India",1209233
"Kakinada, India",939730
"Kalimpong, India",764982
"Kalpi, India",799421
"Kalyan-Dombivali, India",2436920
"Kamareddy, India",352000
"Kancheepuram, India",562378
"Kandukur, India",778680
"Kanhangad, India",494139
"Kannur, India",1004399
"Kanpur, India",114370532
"Kapadvanj, India",504624
"Kapurthala, India",1583337
"Karaikal, India",1032059
"Karimganj, India",958710
"Karimnagar, India",493900
"Karjat, India",646359
"Karnal, India",751751
"Karur, India",560664
"Karwar, India",1003403
"Kasaragod, India",756365
"Kashipur, India",1018763
"Kathua, India",541276
"Katihar, India",472140
"Kavali, India",979637
"Kayamkulam, India",1165436
"Kendrapara, India",965563
"Kendujhar, India",847571
"Keshod, India",524017
"Khair, India",1482348
"Khambhat, India",965032
"Khammam, India",578412
"Khanna, India",994387
"Kharagpur, India",1215466
"Kharar, India",1320133
"Kishanganj, India",642252
"Kochi, India",1015139
"Kodungallur, India",1373818
"Kohima, India",944110
"Kolar, India",1199580
"Kolkata, India",115466943
"Kollam, India",912426
"Koratla, India",1552165
"Korba, India",1869219
"Kot Kapura, India",774900
"Kothagudem, India",591144
"Kottayam, India",1368235
"Kovvur, India",758448
"Koyilandy, India",1372726
"Kozhikode, India",1043202
"Kunnamkulam, India",1286025
"Kurnool, India",1886088
"Kyathampalle, India",628876
"Lachhmangarh, India",475410
"Ladnu, India",380361
"Ladwa, India",905857
"Lahar, India",1009175
"Laharpur, India",952223
"Lakheri, India",1379916
"Lakhimpur, India",1287782
"Lakhisarai, India",541239
"Lakshmeshwar, India",1032468
"Lal Gopalganj Nindaura, India",623840
"Lalitpur, India",848581
"Lalsot, India",1160642
"Lanka, India",1527772
"Lar, India",466442
"Latur, India",210239
"Limbdi, India",633567
"Lingsugur, India",706063
"Lonavla, India",613627
"Loni, India",1263508
"Losal, India",628656
"Lucknow, India",115334476
"Ludhiana, India",927725
"Lumding, India",476003
"Lunawada, India",1119878
"Lunglei, India",1545004
"Macherla, India",826773
"Machilipatnam, India",1507791
"Madanapalle, India",666999
"Maddur, India",1708604
"Madhepura, India",398410
"Madhubani, India",1298157
"Madhugiri, India",868174
"Madhupur, India",752398
"Madikeri, India",1027232
"Madurai, India",479382
"Mahalingapura, India",578252
"Mahasamund, India",1774705
"Mahbubnagar, India",15458
"Mahe, India",988754
"Mahemdabad, India",972014
"Mahesana, India",1457579
"Mahidpur, India",167116
"Mahnar Bazar, India",1093105
"Mahuva, India",1070914
"Maihar, India",1856608
"Mainaguri, India",1096328
"Makhdumpur, India",1273034
"Makrana, India",606715
"Malaj Khand, India",458379
"Malappuram, India",462960
"Malavalli, India",478747
"Malegaon, India",1639472
"Malerkotla, India",828812
"Malkapur, India",496548
"Malout, India",561456
"Malpura, India",1321058
"Malur, India",485102
"Manavadar, India",523373
"Mancherial, India",1108300
"Mandamarri, India",132233
"Mandapeta, India",736697
"Mandi Dabwali, India",282540
"Mandi, India",861910
"Mandideep, India",1766092
"Mandla, India",2047036
"Mandsaur, India",800994
"Mandvi, India",1819799
"Mandya, India",562339
"Manendragarh, India",514281
"Maner, India",1110811
"Mangaluru, India",1059371
"Manglaur, India",802321
"Mangrol, India",1447507
"Mangrulpir, India",1111682
"Manjlegaon, India",1155202
"Mankachar, India",974482
"Manmad, India",874743
"Mansa, India",1122453
"Manuguru, India",529912
"Manvi, India",690244
"Manwath, India",573556
"Mapusa, India",438551
"Margao, India",2061941
"Markapur, India",1073850
"Marmagao, India",1190441
"Masaurhi, India",690464
"Mathura, India",459688
"Mattannur, India",1467767
"Mavelikkara, India",583601
"Mavoor, India",468767
"Medak, India",930909
"Medininagar (Daltonganj), India",1524872
"Medinipur, India",1058957
"Meerut, India",805204
"Mehkar, India",891498
"Memari, India",272188
"Merta City, India",814071
"Mhow Cantonment, India",1218263
"Mihijam, India",1056732
"Mira-Bhayandar, India",667934
"Miryalaguda, India",455411
"Modasa, India",1706364
"Modinagar, India",642762
"Moga, India",838638
"Mohali, India",1692412
"Mokameh, India",708281
"Mokokchung, India",1886399
"Moradabad, India",1272425
"Morena, India",1196599
"Morshi, India",884697
"Morvi, India",445838
"Motihari, India",1620225
"Mudalagi, India",903660
"Muddebihal, India",1662729
"Mudhol, India",819943
"Muktsar, India",1101316
"Mulbagal, India",328739
"Mundi, India",360142
"Mungeli, India",972383
"Munger, India",795135
"Murshidabad, India",515741
"Murtijapur, India",1207327
"Murwara (Katni), India",539348
"Musabani, India",1149320
"Mussoorie, India",202987
"Muvattupuzha, India",1612351
"Muzaffarpur, India",1084256
"Mysore, India",551639
"Nabadwip, India",876276
"Nabarangapur, India",325320
"Nabha, India",1096714
"Nadbai, India",1149598
"Nadiad, India",909064
"Nagaon, India",958952
"Nagapattinam, India",615927
"Nagari, India",754037
"Nagarkurnool, India",906501
"Nagaur, India",1747018
"Nagda, India",865577
"Nagercoil, India",1280646
"Nagina, India",233518
"Nagpur, India",789262
"Nahan, India",1322988
"Naharlagun, India",618347
"Naidupet, India",1125727
"Naihati, India",1458235
"Naila Janjgir, India",1559377
"Nainital, India",1679383
"Najibabad, India",748980
"Nakodar, India",332270
"Nalbari, India",95321
"Namakkal, India",774306
"Nanded-Waghala, India",1778048
"Nandivaram-Guduvancheri, India",662522
"Nandura, India",231015
"Nandurbar, India",1184443
"Nandyal, India",902981
"Nangal, India",639699
"Nanjangud, India",681079
"Nanjikottai, India",855239
"Nanpara, India",1051723
"Narasapuram, India",504137
"Narasaraopet, India",398271
"Narayanpet, India",859906
"Nargund, India",592116
"Narkatiaganj, India",693684
"Narnaul, India",1111117
"Narsinghgarh, India",1814501
"Narsipatnam, India",571349
"Narwana, India",536252
"Nashik, India",681012
"Nasirabad, India",1636296
"Nathdwara, India",256371
"Naugachhia, India",905799
"Naugawan Sadat, India",1235124
"Nautanwa, India",2072550
"Navi Mumbai, India",1290316
"Navsari, India",1274466
"Nawabganj, India",325866
"Nawada, India",698299
"Nawanshahr, India",1369254
"Nawapur, India",971785
"Nedumangad, India",1112532
"Neem-Ka-Thana, India",1322101
"Neemuch, India",679308
"Nehtaur, India",932477
"Nelamangala, India",774456
"Nellikuppam, India",946448
"Nellore, India",1650026
"Nepanagar, India",1144742
"New Delhi, India",260209
"Neyveli (TS), India",1096736
"Neyyattinkara, India",930580
"Nidadavole, India",1408176
"Nilambur, India",1039105
"Nilanga, India",1325032
