City,Amount,Latitude,Longitude
"Chennai, India",114730600,13.0836939,80.270186
"Cherthala, India",606799,9.740204,76.33246715541219
"Chikkamagaluru, India",427124,13.5,75.5
"Chilakaluripet, India",1545309,16.0949502,80.1658779
"Chirala, India",835642,15.8361517,80.3636644
"Chirkunda, India",492615,23.7451314,86.7869794
"Chirmiri, India",1140160,23.1915245,82.3532182
"Chittoor, India",976573,13.1601048,79.15555061803596
"Chittur-Thathamangalam, India",801860,10.6924597,76.73709822112443
"Cuttack, India",912617,20.4686,85.8792
"Dalli-Rajhara, India",1859041,20.5884403,81.071724
"Darbhanga, India",1726490,26.08314325,86.03257096612822
"Darjiling, India",859471,26.75,88.25
"Davanagere, India",1711942,14.4661266,75.9206361
"Deesa, India",524557,24.2594977,72.1803348
"Dehradun, India",1009352,30.3255646,78.0436813
"Dehri-on-Sone, India",1389102,24.9142734,84.1862208
"Delhi, India",556929212,28.6517178,77.2219388
"Deoghar, India",959797,24.4766423,86.60673245386945
"Dhamtari, India",425241,20.7083903,81.5485253
"Dhanbad, India",875564,23.7952809,86.4309638
"Dharmanagar, India",1005801,24.3734077,92.1655262
"Dharmavaram, India",499688,14.42234715,77.72006886674166
"Dhenkanal, India",438125,20.75,85.5
"Dhoraji, India",253121,21.734812,70.4491538
"Dhubri, India",1101754,26.01894625,89.94188952461522
"Dhule, India",962660,21.13050145,74.47891180551228
"Dhuri, India",898151,30.3708266,75.8647369
"Dibrugarh, India",1129413,27.4844597,94.9019447
"Dimapur, India",1271920,25.9136459,93.7283456
"Diphu, India",1996886,25.8563368,93.46496675590588
"Dumka, India",885038,24.2538512,87.30064714192224
"Dumraon, India",1116851,25.5238346,84.15995314496914
"Durg, India",259705,21.19903535,81.3979545573657
"Eluru, India",566405,17.015219000000002,81.08045423126018
"English Bazar, India",522328,24.965712250000003,88.1277781318015
"Erode, India",1347120,11.369204400000001,77.67662686841793
"Etawah, India",889854,26.718324350000003,79.09025375025163
"Faridabad, India",807447,28.4031478,77.3105561
"Faridkot, India",736267,30.60092505,74.79477422840449
"Farooqnagar, India",1045298,17.0791536,78.2039881
"Fatehabad, India",779766,29.51238035,75.4291789790538
"Fatehpur Sikri, India",2204376,27.0911655,77.6623984
"Fazilka, India",14949,30.336099599999997,74.11794319222481
"Firozabad, India",706178,27.17736635,78.38991197951182
"Firozpur Cantt., India",1040099,30.9416519,74.61742782073071
"Firozpur, India",389791,30.885100350000002,74.66014081248886
"Forbesganj, India",331431,26.27836065,87.29875647084894
"Gadwal, India",713058,16.2347032,77.7946371
"Gangarampur, India",1252605,25.42363975,88.57316686704961
"Ganjbasoda, India",223901,,
"Gaya, India",542539,24.7964355,85.0079563
"Giridih, India",947517,24.1608897,86.25113503301655
"Goalpara, India",796227,26.1783623,90.6226683
"Gobichettipalayam, India",1342694,11.450099699999999,77.44261877550801
"Gobindgarh, India",1156703,30.5979596,75.5921058
"Godhra, India",121637,22.7785001,73.6245157
"Gohana, India",515578,29.1190219,76.66998431674506
"Gokak, India",1397274,16.167464,74.90819355873174
"Gooty, India",507686,15.13014175,77.64365939781754
"Gopalganj, India",603304,26.4207265,84.37406407415165
